date,approval,who
2004/2/4,53,fox
2004/1/21,53,fox
2004/1/7,58,fox
2003/12/3,52,fox
2003/11/18,52,fox
2003/10/28,53,fox
2003/10/14,52,fox
2003/9/23,50,fox
2003/9/9,58,fox
2003/8/12,57,fox
2003/7/29,59,fox
2003/7/15,59,fox
2003/6/30,60,fox
2003/6/17,65,fox
2003/6/3,66,fox
2003/5/20,64,fox
2003/5/6,65,fox
2003/4/22,65,fox
2003/4/8,71,fox
2003/3/25,66,fox
2003/3/11,60,fox
2003/2/25,55,fox
2003/2/11,57,fox
2003/1/29,59,fox
2003/1/14,63,fox
2002/12/17,65,fox
2002/12/3,65,fox
2002/11/19,68,fox
2002/10/22,60,fox
2002/10/8,66,fox
2002/9/24,65,fox
2002/9/8,66,fox
2002/8/6,69,fox
2002/7/23,69,fox
2002/7/9,70,fox
2002/6/18,73,fox
2002/6/4,74,fox
2002/5/14,77,fox
2002/4/30,72,fox
2002/4/16,76,fox
2002/4/2,79,fox
2002/3/12,80,fox
2002/2/26,77,fox
2002/2/12,81,fox
2002/1/30,81,fox
2002/1/9,83,fox
2001/12/12,86,fox
2001/11/28,86,fox
2001/11/14,88,fox
2001/10/31,84,fox
2001/10/17,84,fox
2001/10/3,80,fox
2001/9/19,81,fox
2001/8/22,55,fox
2001/7/25,59,fox
2001/7/11,56,fox
2001/6/6,59,fox
2001/5/9,59,fox
2001/4/18,63,fox
2001/3/28,57,fox
2001/3/14,56,fox
2001/2/21,61,fox
2001/2/7,55,fox
2001/1/24,46,fox
2004/1/29,49,gallup
2004/1/12,53,gallup
2004/1/9,59,gallup
2004/1/2,60,gallup
2003/12/15,63,gallup
2003/12/11,56,gallup
2003/12/5,55,gallup
2003/11/14,50,gallup
2003/11/10,51,gallup
2003/11/3,54,gallup
2003/10/24,53,gallup
2003/10/10,56,gallup
2003/10/6,55,gallup
2003/9/19,50,gallup
2003/9/8,52,gallup
2003/8/25,59,gallup
2003/8/4,60,gallup
2003/7/25,58,gallup
2003/7/18,59,gallup
2003/7/7,62,gallup
2003/6/27,61,gallup
2003/6/12,63,gallup
2003/6/9,62,gallup
2003/5/31,64,gallup
2003/5/19,66,gallup
2003/5/5,69,gallup
2003/4/22,70,gallup
2003/4/14,71,gallup
2003/4/7,69,gallup
2003/4/5,70,gallup
2003/3/29,71,gallup
2003/3/24,69,gallup
2003/3/22,71,gallup
2003/3/14,58,gallup
2003/3/3,57,gallup
2003/2/24,57,gallup
2003/2/17,58,gallup
2003/2/7,61,gallup
2003/2/3,59,gallup
2003/1/31,61,gallup
2003/1/23,60,gallup
2003/1/20,58,gallup
2003/1/13,61,gallup
2003/1/10,58,gallup
2003/1/3,63,gallup
2002/12/19,61,gallup
2002/12/16,63,gallup
2002/12/9,63,gallup
2002/12/5,64,gallup
2002/11/22,65,gallup
2002/11/11,66,gallup
2002/11/8,68,gallup
2002/10/31,63,gallup
2002/10/21,67,gallup
2002/10/14,62,gallup
2002/10/3,67,gallup
2002/9/23,68,gallup
2002/9/20,66,gallup
2002/9/13,70,gallup
2002/9/5,66,gallup
2002/9/2,66,gallup
2002/8/19,65,gallup
2002/8/5,68,gallup
2002/7/29,71,gallup
2002/7/26,69,gallup
2002/7/22,69,gallup
2002/7/9,73,gallup
2002/6/28,76,gallup
2002/6/21,73,gallup
2002/6/17,74,gallup
2002/6/7,74,gallup
2002/6/3,70,gallup
2002/5/28,77,gallup
2002/5/20,76,gallup
2002/5/6,76,gallup
2002/4/29,77,gallup
2002/4/22,77,gallup
2002/4/8,75,gallup
2002/4/5,76,gallup
2002/3/22,79,gallup
2002/3/8,80,gallup
2002/3/4,77,gallup
2002/3/1,81,gallup
2002/2/8,82,gallup
2002/2/4,82,gallup
2002/1/25,84,gallup
2002/1/11,83,gallup
2002/1/7,84,gallup
2001/12/14,86,gallup
2001/12/6,86,gallup
2001/11/26,87,gallup
2001/11/8,87,gallup
2001/11/2,87,gallup
2001/10/19,88,gallup
2001/10/11,89,gallup
2001/10/5,87,gallup
2001/9/21,90,gallup
2001/9/14,86,gallup
2001/9/7,51,gallup
2001/8/24,55,gallup
2001/8/16,57,gallup
2001/8/10,57,gallup
2001/8/3,55,gallup
2001/7/19,56,gallup
2001/7/10,57,gallup
2001/6/28,52,gallup
2001/6/11,55,gallup
2001/6/8,55,gallup
2001/5/18,56,gallup
2001/5/10,56,gallup
2001/5/7,53,gallup
2001/4/20,62,gallup
2001/4/6,59,gallup
2001/3/26,53,gallup
2001/3/9,58,gallup
2001/3/5,63,gallup
2001/2/19,62,gallup
2001/2/9,57,gallup
2001/2/1,57,gallup
2004/2/5,48,newsweek
2004/1/29,49,newsweek
2004/1/22,50,newsweek
2004/1/8,54,newsweek
2003/12/18,54,newsweek
2003/12/11,51,newsweek
2003/11/6,52,newsweek
2003/10/23,51,newsweek
2003/10/9,51,newsweek
2003/9/25,52,newsweek
2003/9/18,51,newsweek
2003/9/11,52,newsweek
2003/8/21,53,newsweek
2003/7/24,57,newsweek
2003/7/10,55,newsweek
2003/5/29,61,newsweek
2003/5/1,65,newsweek
2003/4/10,71,newsweek
2003/3/27,68,newsweek
2003/3/13,53,newsweek
2003/2/6,61,newsweek
2003/1/23,55,newsweek
2003/1/16,56,newsweek
2002/11/7,60,newsweek
2002/10/24,61,newsweek
2002/10/10,61,newsweek
2002/9/26,65,newsweek
2002/9/12,70,newsweek
2002/8/28,61,newsweek
2002/7/18,65,newsweek
2002/7/11,68,newsweek
2002/6/27,70,newsweek
2002/5/16,73,newsweek
2002/4/25,71,newsweek
2002/3/21,74,newsweek
2002/1/31,83,newsweek
2001/12/13,81,newsweek
2001/12/6,82,newsweek
2001/11/29,85,newsweek
2001/11/15,85,newsweek
2001/11/8,85,newsweek
2001/11/1,85,newsweek
2001/10/25,85,newsweek
2001/10/18,88,newsweek
2001/10/11,88,newsweek
2001/10/4,84,newsweek
2001/9/27,86,newsweek
2001/9/20,86,newsweek
2001/9/13,82,newsweek
2001/5/10,50,newsweek
2001/5/3,57,newsweek
2001/4/12,57,newsweek
2001/3/15,55,newsweek
2001/2/15,56,newsweek
2001/2/8,52,newsweek
2004/2/5,54,time.cnn
2004/1/14,54,time.cnn
2003/12/30,54,time.cnn
2003/11/18,52,time.cnn
2003/9/3,52,time.cnn
2003/7/16,55,time.cnn
2003/5/21,63,time.cnn
2003/3/27,62,time.cnn
2003/2/19,54,time.cnn
2003/2/6,62,time.cnn
2003/1/15,53,time.cnn
2002/12/17,55,time.cnn
2002/11/13,64,time.cnn
2002/10/23,61,time.cnn
2002/8/28,65,time.cnn
2002/7/10,70,time.cnn
2002/6/19,70,time.cnn
2002/5/22,72,time.cnn
2002/4/10,75,time.cnn
2002/3/13,75,time.cnn
2002/1/23,77,time.cnn
2001/12/19,82,time.cnn
2001/11/7,87,time.cnn
2001/10/12,89,time.cnn
2001/9/27,84,time.cnn
2001/9/13,78,time.cnn
2001/7/17,55,time.cnn
2001/5/23,52,time.cnn
2001/3/21,55,time.cnn
2001/2/7,52,time.cnn
2004/2/1,56,upenn
2004/1/26,54,upenn
2004/1/21,64,upenn
2004/1/16,59,upenn
2004/1/1,60,upenn
2003/12/16,63,upenn
2003/12/1,59,upenn
2003/11/16,57,upenn
2003/1/1,55,upenn
2003/10/7,58,upenn
2004/1/15,49,zogby
2003/12/15,53,zogby
2003/12/4,49,zogby
2003/11/3,48,zogby
2003/10/15,49,zogby
2003/9/22,50,zogby
2003/9/3,45,zogby
2003/8/16,52,zogby
2003/7/16,53,zogby
2003/6/6,58,zogby
2003/4/8,61,zogby
2003/3/24,57,zogby
2003/3/14,54,zogby
2003/3/5,54,zogby
2003/2/19,57,zogby
2003/2/6,62,zogby
2003/1/24,57,zogby
2003/1/4,63,zogby
2002/10/26,64,zogby
2002/9/25,63,zogby
2002/7/19,63,zogby
2002/7/12,62,zogby
2002/6/17,69,zogby
2002/6/7,69,zogby
2002/5/28,70,zogby
2002/4/19,69,zogby
2002/3/25,74,zogby
2002/3/1,74,zogby
2002/1/29,74,zogby
2002/1/21,77,zogby
2002/1/14,79,zogby
2002/1/7,78,zogby
2002/1/2,80,zogby
2001/12/17,81,zogby
2001/12/10,82,zogby
2001/12/3,81,zogby
2001/10/23,78,zogby
2001/9/14,82,zogby
2001/8/28,50,zogby
2001/7/26,47,zogby
2001/6/24,51,zogby
2001/4/23,52,zogby
2001/3/27,52,zogby
2001/2/27,53,zogby
2001/2/9,57,zogby
