洲,国家,城市,年,月,收入,支出
亚洲,中国,北京,1990,1,100,200
亚洲,中国,北京,1990,2,101,201
亚洲,中国,北京,1990,3,102,202
亚洲,中国,北京,1991,1,100,200
亚洲,中国,北京,1991,2,101,201
亚洲,中国,北京,1991,3,102,202
亚洲,中国,天津,1990,1,100,200
亚洲,中国,天津,1990,2,101,201
亚洲,中国,天津,1990,3,102,202
亚洲,中国,天津,1991,1,100,200
亚洲,中国,天津,1991,2,101,201
亚洲,中国,天津,1991,3,102,202
亚洲,日本,大阪,1990,1,100,200
亚洲,日本,大阪,1990,2,101,201
亚洲,日本,大阪,1990,3,102,202
亚洲,日本,大阪,1991,1,100,200
亚洲,日本,大阪,1991,2,101,201
亚洲,日本,大阪,1991,3,102,202
亚洲,日本,东京,1990,1,100,200
亚洲,日本,东京,1990,2,101,201
亚洲,日本,四国,1990,3,102,202
亚洲,日本,四国,1991,1,100,200
亚洲,日本,四国,1991,2,101,201
亚洲,日本,四国,1991,3,102,202
欧洲,法国,巴黎1,1990,1,100,200
欧洲,法国,巴黎1,1990,2,101,201
欧洲,法国,巴黎1,1990,3,102,202
欧洲,法国,巴黎1,1991,1,100,200
欧洲,法国,巴黎1,1991,2,101,201
欧洲,法国,巴黎1,1991,3,102,202
欧洲,法国,巴黎2,1990,1,100,200
欧洲,法国,巴黎2,1990,2,101,201
欧洲,法国,巴黎2,1990,3,102,202
欧洲,法国,巴黎2,1991,1,100,200
欧洲,法国,巴黎2,1991,2,101,201
欧洲,法国,巴黎2,1991,3,102,202
欧洲,英国,伦敦1,1990,1,100,200
欧洲,英国,伦敦1,1990,2,101,201
欧洲,英国,伦敦1,1990,3,102,202
欧洲,英国,伦敦1,1991,1,100,200
欧洲,英国,伦敦1,1991,2,101,201
欧洲,英国,伦敦1,1991,3,102,202
欧洲,英国,伦敦2,1990,1,100,200
欧洲,英国,伦敦2,1990,2,101,201
欧洲,英国,伦敦2,1990,3,102,202
欧洲,英国,伦敦2,1991,1,100,200
欧洲,英国,伦敦2,1991,2,101,201
欧洲,英国,伦敦2,1991,3,102,202